epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,848.216,1.07808,1.33401,0.89265,0.64988,0.51204,0.50467,0.39148,1.07782,1.87962,0.92588,8.92e-05,8.92e-05,8.92e-05
140,854.076,1.0002,1.24317,0.89449,0.64699,0.51173,0.50231,0.39225,1.06051,1.87662,0.92281,8.26e-05,8.26e-05,8.26e-05
141,861.667,1.00075,1.30835,0.90446,0.68286,0.49248,0.50045,0.37558,1.13667,1.91595,0.93244,7.6e-05,7.6e-05,7.6e-05
142,867.392,1.00354,1.23698,0.91253,0.71324,0.49212,0.50625,0.38407,1.1004,1.90105,0.93071,6.94e-05,6.94e-05,6.94e-05
143,873.071,1.03136,1.31492,0.91648,0.70213,0.4878,0.5036,0.3843,1.08781,1.89258,0.92521,6.28e-05,6.28e-05,6.28e-05
144,878.999,1.00559,1.24288,0.90582,0.70807,0.47542,0.49461,0.37413,1.09216,1.89343,0.92402,5.62e-05,5.62e-05,5.62e-05
145,884.794,0.97516,1.18186,0.89653,0.6849,0.49099,0.49529,0.37587,1.08065,1.8867,0.92204,4.96e-05,4.96e-05,4.96e-05
146,890.422,0.9855,1.15311,0.89344,0.70759,0.47491,0.49568,0.37593,1.08669,1.89312,0.92266,4.3e-05,4.3e-05,4.3e-05
147,896.216,1.00439,1.27041,0.91885,0.73196,0.48031,0.49821,0.3792,1.08312,1.89177,0.92113,3.64e-05,3.64e-05,3.64e-05
148,901.775,0.99566,1.21864,0.89109,0.70791,0.48549,0.50146,0.38032,1.09922,1.89956,0.92404,2.98e-05,2.98e-05,2.98e-05
149,907.408,0.98102,1.16452,0.90162,0.71212,0.48679,0.50371,0.38633,1.08479,1.89278,0.92088,2.32e-05,2.32e-05,2.32e-05
150,913.236,0.99405,1.20364,0.88386,0.70588,0.48402,0.50278,0.38554,1.08129,1.89336,0.92,1.66e-05,1.66e-05,1.66e-05
